Family,Taxon,Specimen No.,Sex,ThL,LuL,PreL,PosL,TL,TH,TW,DL,DH,DW,LL,LH,LW
Felidae,Panthera pardus,396948,M,331.3,271.9,268.4,334.8,22.8,16.5,19.5,28.6,17.6,30.1,39.8,19.7,30.1
Felidae,Panthera pardus,1880.2.16.1,?,304.4,257.2,247.6,314.0,23.2,14.9,17.3,25.5,15.1,24.3,41.3,18.1,29.3
Felidae,Panthera tigris,14030,M,386.4,319.1,312.5,393.0,27.8,18.9,21.7,32.8,21.3,30.8,46.3,22.5,33.1
Felidae,Panthera tigris,35482,F,386.0,319.9,314.6,391.4,28.2,21.8,24.8,32.6,19.8,31.2,48.2,22.4,35.1
Felidae,Panthera tigris,49773,?,478.6,376.2,391.7,463.1,34.8,28.9,30.8,39.9,30.1,41.3,56.0,32.8,45.6
Felidae,Panthera tigris,135846,M,439.6,348.1,359.1,428.6,31.4,23.5,26.8,36.8,24.9,40.3,52.4,29.5,42.6
Felidae,Panthera tigris,269320,M,467.6,366.4,382.2,451.7,35.3,24.5,25.5,39.8,24.4,38.9,55.2,28.7,41.0
Felidae,Panthera tigris,1884.1.22.6,F,445.9,358.1,373.0,431.0,30.6,24.5,26.2,34.4,24.9,34.0,53.1,26.0,40.6
Felidae,Panthera tigris,1937.1.2.1,F,390.8,320.4,318.7,392.5,28.4,22.2,23.6,33.6,22.4,34.4,47.7,25.1,37.6
Felidae,Panthera tigris,A49799,?,474.4,388.3,385.1,477.7,35.4,26.9,29.0,43.5,27.0,37.9,57.4,,
Felidae,Prioilurus bengalensis,317283,M,131.7,120.0,93.6,158.2,9.7,4.5,5.9,11.2,4.5,8.8,18.6,5.4,10.3
Felidae,Prioilurus viverrinus,75.2284,M,194.1,171.1,139.5,225.7,14.0,8.3,10.3,16.8,8.7,15.6,27.3,9.7,17.7
Felidae,Prioilurus viverrinus,70128,M,204.6,184.6,145.8,243.4,14.9,8.7,11.3,17.3,9.2,13.4,28.5,10.1,15.8
Felidae,Prioilurus viverrinus,1860.7.22.22,?,176.0,162.2,126.3,212.0,12.8,7.1,9.7,15.9,9.3,12.5,25.3,9.6,15.6
Felidae,Puma concolor,262132,M,363.9,293.5,265.4,392.0,27.3,18.2,18.5,29.7,17.3,27.2,44.3,20.6,31.4
Felidae,Puma concolor,A01385,?,325.6,286.7,262.3,350.0,24.2,16.5,17.6,28.0,15.9,24.1,43.9,18.0,27.6
Felidae,Puma concolor,A21526,?,317.4,274.8,255.9,336.2,22.4,15.1,16.0,28.6,14.8,24.6,41.5,18.1,26.3
Felidae,Puma concolor,A21527,?,349.1,308.0,283.3,373.8,25.8,17.9,17.5,28.9,17.6,28.0,47.0,20.2,31.3
Felidae,Puma concolor,A21528,?,300.6,259.3,244.5,315.4,22.2,15.3,15.7,25.5,15.2,25.2,41.4,19.1,28.2
Felidae,Puma yagouaroundi,124336,M,184.9,165.4,134.0,216.4,13.3,6.6,8.9,14.6,7.2,12.4,27.6,9.1,14.2
Felidae,Puma yagouaroundi,215137,M,198.3,174.7,142.1,230.9,14.6,7.1,9.0,15.7,7.8,13.6,27.1,8.9,14.6
Felidae,Uncia unica,241212,F,226.4,210.7,179.6,257.5,18.2,11.9,15.8,20.7,13.5,21.9,31.9,15.8,26.1
Felidae,Uncia unica,1962.12.11.1,F,299.0,248.3,242.2,305.1,21.8,13.6,16.6,25.0,15.7,24.0,37.7,16.7,27.8
Felidae,Uncia unica,1963.2.25.1,M,319.6,268.8,258.4,329.9,23.9,15.1,18.7,28.0,15.5,24.6,39.7,17.8,29.4
Felidae,Uncia unica,1967.6.29.1,F,259.7,223.9,208.5,275.1,19.2,12.6,16.1,22.7,13.7,24.9,33.6,15.5,26.7
Otariidae,Actocephalus fosteri,BMNH 1968.9.26.4,M,510.9,171.2,368.5,313.5,34.1,21.9,26.4,35.3,21.4,27.0,35.3,25.3,25.7
Otariidae,Actocephalus tropicalis,BMNH 1960.8.4.4,M,612.3,174.7,441.2,345.8,40.9,26.2,31.1,41.9,25.6,33.6,38.4,27.6,28.3
Otariidae,Arctocelphalus australis,UMZC K.7261,?,291.9,98.3,209.2,181.1,19.4,16.4,21.0,19.5,16.9,21.6,20.3,17.6,19.0
Otariidae,Arctocephalus galapogoensis,MCZ 1092,M,764.3,251.2,560.6,454.9,50.6,28.0,33.5,48.4,26.8,39.3,53.4,30.3,32.0
Otariidae,Arctocephalus pusillus,UMZC K.7361,?,441.2,146.4,316.4,271.1,28.6,21.9,30.5,30.5,21.5,27.6,29.9,23.0,23.6
Otariidae,Arctocephalus pusillus,UMZC K.7425,M,459.1,150.2,329.0,280.4,31.2,25.8,33.7,32.3,25.2,32.3,31.1,28.0,26.9
Otariidae,Callorhinus ursinus,MCZ BOM-1086,F,446.6,165.1,317.8,293.9,29.4,19.4,23.3,30.4,20.8,24.2,34.7,21.6,23.2
Otariidae,Callorhinus ursinus,MCZ BOM-1087,F,405.2,157.4,315.4,247.1,27.1,18.1,20.6,28.5,18.5,21.4,33.0,19.0,19.9
Otariidae,Callorhinus ursinus,UMZC K.7221,M,501.3,183.3,355.3,329.3,31.9,23.3,27.8,34.3,23.8,30.5,39.3,24.6,25.8
Otariidae,Eumetopias jubatus,UMZC K.7081,?,800.5,285.0,580.7,504.8,52.2,35.4,41.3,53.9,35.8,42.9,59.8,37.4,43.9
Otariidae,Eumetopias jubatus,MCZ BOM-129,M,930.5,345.3,668.6,607.3,61.5,43.5,58.1,64.9,42.3,58.9,66.0,43.0,54.0
Otariidae,Neophoca cinerea,UMZC K.7152,?,716.6,230.5,517.4,429.7,47.2,28.9,37.5,48.3,28.9,36.1,48.2,33.1,34.4
Otariidae,Otaria byronia,UMZC K.7029,?,830.3,282.7,596.6,516.5,56.9,34.0,44.3,56.7,32.6,44.5,58.1,33.6,40.3
Otariidae,Zalophus californianus,UMZC K.7122,M,700.8,237.3,509.4,428.8,45.7,28.7,37.2,46.8,28.2,38.1,48.8,30.5,35.9
Otariidae,Zalphus californianus,BMNH 1884.4.15.1,?,635.9,208.8,463.4,381.3,42.3,29.5,32.9,44.1,26.3,35.3,40.9,28.7,30.8
Phocidae,Crystophora cristata,UMZC K.7745,F,590.1,300.0,380.3,509.8,37.2,28.1,35.7,43.8,31.6,40.5,64.0,43.5,40.1
Phocidae,Cystophora cristata,MCZ 62153,M,640.1,335.6,414.0,561.7,38.5,29.1,41.5,47.6,33.0,50.0,70.1,43.6,46.0
Phocidae,Erignathus barbatus,UMZC K.8024,M,457.6,213.8,298.7,372.7,28.5,23.7,31.9,32.0,26.4,37.1,43.6,33.9,38.6
Phocidae,Halichoerus grypus,UMZC K.7943,F,492.8,226.2,298.2,386.3,30.7,25.4,31.2,32.5,24.6,36.0,50.6,39.6,40.2
Phocidae,Hydrurga leptonyx,MCZ 51853,?,839.4,516.4,608.4,747.4,54.3,40.3,53.0,68.1,43.6,62.2,88.1,57.4,58.3
Phocidae,Hydrurga leptonyx,BMNH 1959.12.17.4,F,894.6,509.6,451.0,953.1,59.9,40.3,48.8,61.0,39.4,47.9,89.0,56.5,63.1
Phocidae,Leptonychotes weddelli,MCZ 51874,F,818.3,312.0,482.1,648.2,47.5,31.9,49.1,54.4,33.2,50.9,79.8,47.7,49.5
Phocidae,Leptonychotes weddelli,MCZ 51731,M,703.7,348.9,401.8,650.8,44.7,29.8,45.3,49.9,30.4,48.7,73.3,46.3,48.9
Phocidae,Mirounga leonina,BMNH 1912.9.28.1,F,1213.3,525.5,826.9,911.8,83.0,60.4,87.8,90.4,61.2,80.5,108.8,71.0,78.7
Phocidae,Monachus monachus,BMNH 1863.4.1.1(1421.a),M,719.1,319.3,482.7,555.7,46.0,27.0,38.6,55.0,31.1,42.5,66.1,40.6,42.6
Phocidae,Monachus tropacalis,MCZ BOM7264,?,747.1,339.6,434.6,652.2,46.7,27.8,40.2,54.1,30.8,45.5,69.9,37.5,44.4
Phocidae,Ommatophoca rossi,MCZ 51852,?,530.2,241.0,312.4,458.8,33.2,26.3,40.6,36.8,27.2,42.5,49.1,38.0,45.4
Phocidae,Ommatophoca rossi,MCZ 52305,M,676.2,301.0,401.5,575.7,42.8,29.9,46.0,46.5,32.6,50.1,62.7,43.6,52.0
